Equipamento;Hora;Latitude;Longitude
7032;1900-01-01 18:55:21;-18.904426575;-49.485280355
7032;1900-01-01 19:00:21;-18.904404322;-49.485254924
7032;1900-01-01 19:05:21;-18.904417038;-49.485254924
7032;1900-01-01 19:10:21;-18.904413859;-49.485286713
7032;1900-01-01 19:15:21;-18.904417038;-49.485280355
7032;1900-01-01 19:20:21;-18.904391607;-49.485305786
7032;1900-01-01 19:25:21;-18.904429754;-49.485305786
7032;1900-01-01 19:30:21;-18.904407501;-49.485312144
7032;1900-01-01 19:35:21;-18.904372533;-49.485305786
7032;1900-01-01 19:40:21;-18.904410680;-49.485312144
7032;1900-01-01 19:45:21;-18.904382070;-49.485293070
7032;1900-01-01 19:50:21;-18.904397964;-49.485305786
7032;1900-01-01 19:55:21;-18.904359818;-49.485305786
7032;1900-01-01 20:00:21;-18.904378891;-49.485318502
7032;1900-01-01 20:05:21;-18.904391607;-49.485324860
7032;1900-01-01 20:10:21;-18.904394786;-49.485312144
7032;1900-01-01 20:15:21;-18.904378891;-49.485318502
7032;1900-01-01 20:20:21;-18.904372533;-49.485337575
7032;1900-01-01 20:25:21;-18.904385249;-49.485293070
7032;1900-01-01 20:30:21;-18.904401143;-49.485350291
7032;1900-01-01 20:35:21;-18.904413859;-49.485337575
7032;1900-01-01 20:40:21;-18.904378891;-49.485293070
7032;1900-01-01 20:45:21;-18.904397964;-49.485286713
7032;1900-01-01 20:50:21;-18.904401143;-49.485305786
7032;1900-01-01 20:55:21;-18.904413859;-49.485293070
7032;1900-01-01 21:00:21;-18.904426575;-49.485318502
7032;1900-01-01 21:05:21;-18.904452006;-49.485318502
7032;1900-01-01 21:10:21;-18.904420217;-49.485324860
7032;1900-01-01 21:15:21;-18.904397964;-49.485337575
7032;1900-01-01 21:20:21;-18.904407501;-49.485318502
7032;1900-01-01 21:25:21;-18.904429754;-49.485337575
7032;1900-01-01 21:30:21;-18.904429754;-49.485343933
7032;1900-01-01 21:35:21;-18.904426575;-49.485337575
7032;1900-01-01 21:40:21;-18.904439290;-49.485337575
7032;1900-01-01 21:45:21;-18.904455185;-49.485324860
7032;1900-01-01 21:50:21;-18.904432933;-49.485324860
7032;1900-01-01 21:55:21;-18.904432933;-49.485318502
7032;1900-01-01 22:00:21;-18.904471080;-49.485350291
7032;1900-01-01 22:05:21;-18.904429754;-49.485343933
7032;1900-01-01 22:10:21;-18.904426575;-49.485312144
7032;1900-01-01 22:15:21;-18.904448827;-49.485318502
7032;1900-01-01 22:20:21;-18.904429754;-49.485318502
7032;1900-01-01 22:24:43;-18.904407501;-49.485318502
7032;1900-01-01 22:29:43;-18.904420217;-49.485318502
7032;1900-01-01 22:33:53;-18.904432933;-49.485318502
7032;1900-01-01 22:34:29;-18.904436111;-49.485318502
7032;1900-01-01 22:37:24;-18.904420217;-49.485318502
7032;1900-01-01 22:42:24;-18.904432933;-49.485324860
7032;1900-01-01 22:47:24;-18.904436111;-49.485318502
7032;1900-01-01 22:52:24;-18.904439290;-49.485318502
7032;1900-01-01 22:57:24;-18.904420217;-49.485350291
7032;1900-01-01 23:02:24;-18.904407501;-49.485324860
7032;1900-01-01 23:07:24;-18.904407501;-49.485337575
7032;1900-01-01 23:12:24;-18.904423396;-49.485312144
7032;1900-01-01 23:17:24;-18.904429754;-49.485318502
7032;1900-01-01 23:22:24;-18.904436111;-49.485305786
7032;1900-01-01 23:27:24;-18.904420217;-49.485343933
7032;1900-01-01 23:32:24;-18.904410680;-49.485337575
7032;1900-01-01 23:37:24;-18.904378891;-49.485312144
7032;1900-01-01 23:42:24;-18.904407501;-49.485343933
7032;1900-01-01 23:47:24;-18.904413859;-49.485312144
7032;1900-01-01 23:52:24;-18.904417038;-49.485312144
7032;1900-01-01 23:57:24;-18.904401143;-49.485312144
7037;1900-01-01 10:18:43;-18.905138652;-49.477911631
7037;1900-01-01 10:19:19;-18.905234019;-49.477879842
7037;1900-01-01 10:19:21;-18.905230840;-49.477873484
7037;1900-01-01 10:19:23;-18.905227661;-49.477867126
7037;1900-01-01 10:19:46;-18.905234019;-49.477873484
7037;1900-01-01 10:19:49;-18.905227661;-49.477867126
7037;1900-01-01 10:20:21;-18.905310313;-49.477759043
7037;1900-01-01 10:20:58;-18.904846191;-49.477155050
7037;1900-01-01 10:21:50;-18.905415217;-49.477644602
7037;1900-01-01 10:24:32;-18.905542374;-49.477727254
7037;1900-01-01 10:25:57;-18.905656815;-49.478388468
7037;1900-01-01 10:26:03;-18.905650457;-49.478375753
7037;1900-01-01 10:27:39;-18.905825297;-49.479208628
7037;1900-01-01 10:29:08;-18.905968348;-49.480149587
7037;1900-01-01 10:30:37;-18.906079610;-49.481096903
7037;1900-01-01 10:32:06;-18.906260808;-49.482031504
7037;1900-01-01 10:33:33;-18.906502406;-49.482953389
7037;1900-01-01 10:35:00;-18.906585058;-49.483894348
7037;1900-01-01 10:37:18;-18.906515121;-49.484472911
7037;1900-01-01 10:38:42;-18.906213125;-49.485369364
7037;1900-01-01 10:40:13;-18.905691783;-49.486132304
7037;1900-01-01 10:41:46;-18.905027390;-49.486768087
7037;1900-01-01 10:46:41;-18.904865265;-49.486895243
7037;1900-01-01 10:48:02;-18.904413859;-49.487200419
7037;1900-01-01 11:06:43;-18.904324849;-49.487041473
7037;1900-01-01 11:06:49;-18.904324849;-49.487041473
7037;1900-01-01 11:18:12;-18.904350281;-49.487060547
7037;1900-01-01 11:23:12;-18.904359818;-49.487041473
7037;1900-01-01 11:28:12;-18.904375712;-49.487035116
7037;1900-01-01 11:33:12;-18.904372533;-49.487035116
7037;1900-01-01 11:38:12;-18.904375712;-49.487041473
7037;1900-01-01 11:43:13;-18.904382070;-49.487041473
7037;1900-01-01 11:48:13;-18.904385249;-49.487041473
7037;1900-01-01 11:53:13;-18.904378891;-49.487035116
7037;1900-01-01 11:57:58;-18.904388428;-49.487028758
7037;1900-01-01 11:58:22;-18.904362996;-49.487054189
7037;1900-01-01 11:58:45;-18.904359818;-49.487054189
7037;1900-01-01 11:58:55;-18.904353460;-49.487054189
7037;1900-01-01 12:03:55;-18.904369354;-49.487054189
7037;1900-01-01 12:04:23;-18.904366175;-49.487054189
7037;1900-01-01 12:05:36;-18.904912949;-49.487670898
7037;1900-01-01 12:06:35;-18.905599594;-49.488300323
7037;1900-01-01 12:07:48;-18.906171799;-49.488548279
7037;1900-01-01 12:08:05;-18.906171799;-49.488541921
7037;1900-01-01 12:13:05;-18.906171799;-49.488541921
7037;1900-01-01 12:18:05;-18.906178157;-49.488535563
7037;1900-01-01 12:23:05;-18.906181335;-49.488560994
7037;1900-01-01 12:28:05;-18.906171799;-49.488580068
7037;1900-01-01 12:33:05;-18.906168620;-49.488573710
7037;1900-01-01 12:38:05;-18.906187693;-49.488567352
7037;1900-01-01 12:43:05;-18.906171799;-49.488573710
7037;1900-01-01 12:48:05;-18.906165441;-49.488573710
7037;1900-01-01 12:53:05;-18.906168620;-49.488592784
7037;1900-01-01 12:58:05;-18.906171799;-49.488580068
7037;1900-01-01 13:03:05;-18.906165441;-49.488573710
7037;1900-01-01 13:08:05;-18.906241735;-49.488522847
7037;1900-01-01 13:13:05;-18.906219482;-49.488522847
7037;1900-01-01 13:18:05;-18.906181335;-49.488560994
7037;1900-01-01 13:23:05;-18.906184514;-49.488548279
7037;1900-01-01 13:28:05;-18.906174978;-49.488541921
7037;1900-01-01 13:33:05;-18.906181335;-49.488541921
7037;1900-01-01 13:34:43;-18.906178157;-49.488541921
7037;1900-01-01 13:35:09;-18.906216304;-49.488516490
7037;1900-01-01 13:35:16;-18.906216304;-49.488522847
7037;1900-01-01 13:35:25;-18.906216304;-49.488522847
7037;1900-01-01 13:40:25;-18.906213125;-49.488522847
7037;1900-01-01 13:45:25;-18.906222661;-49.488516490
7037;1900-01-01 13:50:25;-18.906254450;-49.488491058
7037;1900-01-01 13:55:25;-18.906244914;-49.488491058
7037;1900-01-01 14:00:25;-18.906244914;-49.488503774
7037;1900-01-01 14:05:25;-18.906238556;-49.488503774
7037;1900-01-01 14:10:25;-18.906270345;-49.488478343
7037;1900-01-01 14:15:25;-18.906263987;-49.488478343
7037;1900-01-01 14:20:25;-18.906267166;-49.488478343
7037;1900-01-01 14:25:25;-18.906286240;-49.488459269
7037;1900-01-01 14:30:25;-18.906365712;-49.488637288
7037;1900-01-01 14:30:26;-18.906365712;-49.488637288
7037;1900-01-01 14:30:30;-18.906400681;-49.488605499
